LevelName	NavigationMeshLoad	Time(s)	#Initial Polygons	#Obstacles	#Final Polygons	Search Type	Time(s)	#Nodes Visited	Max Nodes in Queue	Path Length (Polygons)	Path Cost(units)
Xanadu	load Navigation Mesh	0.09891319	7000	430	1151	A*	0.06741667	1128	39	237	3163.906	
MultiPlaneSceneWithCubes	load Navigation Mesh	0.1015141	800	19	67	A*	0.00285697	64	16	14	62.74416	
MultiPlaneSceneWithCubes	load Navigation Mesh	0.01252508	800	19	67	Dynamic Weighted A*	0.001832008	25	17	13	62.91397	
PlainSceneWithtwoCubes2	load Navigation Mesh	0.03994703	212	8	25	A*	0.001844168	19	5	8	29.2007	
MultiPlaneSceneWithCubes	load Navigation Mesh	0.09109402	800	19	67	A*	0.002733946	64	16	14	62.74416	
MultiPlaneSceneWithCubes	load Navigation Mesh	0.01519299	800	19	67	Dynamic Weighted BDBOP	0.002010345	19	11	17	64.55193	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1618376	44800	803	2819	A*	0.1333861	1599	134	82	554.954	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.09906006	44800	803	2819	Dynamic Weighted BDBOP	0.002766132	354	106	78	690.8974	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1710815	44800	803	2819	A*	0.1375809	1599	134	82	554.954	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1006775	44800	803	2819	Dynamic Weighted BDBOP	0.002681732	354	106	78	690.8974	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.113102	44800	803	2819	A* Optimal	0.005703926	1601	134	82	554.954	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1194696	44800	803	2819	Bi-Directional	0.08546734	1372	242	79	555.7142	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1115875	44800	803	2819	FringeSearch	0.5276718	37898	275	78	595.7099	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.09804821	44800	803	2819	Beam Search	0.005514145	1601	134	82	554.954	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.104805	44800	803	2819	Dynamic Weighted BDOP	0.002638817	354	123	78	690.8974	
MultiPlaneSceneWithCubes	load Navigation Mesh	0.07051802	800	19	67	A*	0.002712011	64	16	14	62.74416	
MultiPlaneSceneWithCubes	load Navigation Mesh	0.01233101	800	19	67	Dynamic Weighted BDBOP	0.001422882	19	11	17	64.55193	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.06983209	1800	36	119	A*	0.002081156	70	21	18	86.29044	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	A*	0.001068115	1	1	1	0	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	A* Optimal	0.001525879	1	1	1	0	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	Bi-Directional	0.00100708	1	0	1	0	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	Bi-Directional Optimal	0.0009155273	1	0	1	0	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	FringeSearch	0.001373291	1	0	1	0	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	Beam Search	0.0009460449	1	1	1	0	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	Dynamic Weighted A*	0.001251221	1	1	1	0	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	Dynamic Weighted BDBOP	0.0009765625	1	0	1	0	
PlainScene	load Navigation Mesh	0.07330322	212	0	1	Dynamic Weighted BDOP	0.000793457	1	0	1	0	
PlainScene	load Navigation Mesh	0.06534505	212	0	1	A*	0.00116992	1	1	1	0	
PlainScene	load Navigation Mesh	0.01067638	212	0	1	Dynamic Weighted BDBOP	0.0008530617	1	0	1	0	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1649251	44800	803	2819	A*	0.1386228	1599	134	82	554.954	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.1005859	44800	803	2819	Dynamic Weighted BDBOP	0.002826691	354	106	78	690.8974	
Xanadu	load Navigation Mesh	0.105886	7000	430	1151	A*	0.06048393	1128	39	237	3163.906	
Xanadu	load Navigation Mesh	0.05196476	7000	430	1151	Dynamic Weighted BDBOP	0.003880501	1128	47	324	3502.489	
MultiPlaneSceneWithCubes	load Navigation Mesh	0.06377602	800	19	67	A*	0.002729893	64	16	14	62.74416	
MultiPlaneSceneWithCubes	load Navigation Mesh	0.01717186	800	19	67	Dynamic Weighted BDBOP	0.002475262	19	11	17	64.55193	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.017591	1800	36	119	A*	0.002010822	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.02640438	1800	36	119	Dynamic Weighted BDBOP	0.001476765	16	33	15	93.95207	
PlainScene	load Navigation Mesh	0.4055481	212	0	1	A*	0.00100708	1	1	1	0	
PlainSceneWithtwoCubes2	load Navigation Mesh	0.3864613	212	8	25	A*	0.001567841	19	5	8	29.2007	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01557541	1800	36	119	A*	0.002069473	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01431608	1800	36	119	Bi-Directional Optimal	0.001651287	53	35	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.0182333	1800	36	119	Dynamic Weighted A*	0.001822948	15	28	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01737213	1800	36	119	Dynamic Weighted BDBOP	0.001464844	16	33	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01382828	1800	36	119	FringeSearch	0.001811981	102	34	15	88.67395	
HugePlaneWithRandomCubes1	load Navigation Mesh	0.167779	44800	803	2819	A*	0.1326551	1599	134	82	554.954	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.07643986	1800	36	119	A*	0.002942085	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01370621	1800	36	119	A*	0.002160072	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01356697	1800	36	119	A*	0.002248049	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.02080822	1800	36	119	A*	0.002308846	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.014539	1800	36	119	A*	0.003158092	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.02156019	1800	36	119	A* Optimal	0.002621174	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.013448	1800	36	119	A*	0.002305984	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01800823	1800	36	119	A*	0.003057957	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01412702	1800	36	119	A*	0.003232956	70	21	18	86.29044	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.02717972	1800	36	119	Dynamic Weighted BDBOP	0.001519203	16	33	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01407814	1800	36	119	Dynamic Weighted BDBOP	0.001457214	16	33	15	93.95207	
MultipPlaneSceneWithRandomCubes	load Navigation Mesh	0.01347995	1800	36	119	A*	0.002048016	70	21	18	86.29044	
